﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3KMeZjFLgFezUYGbcLpDk9","Airborne","Zomboy","The Outbreak","1","3","330000","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:6ToEDjfMmWUEcj6Oe1lfB0","Beast In The Belly","Zomboy","The Outbreak","1","4","203835","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:6WnM7Vgor1yuUHDerQtHue","Skull 'n' Bones","Zomboy","The Outbreak","1","5","233357","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:6KrTtIbVntoSBNB1M8UYqH","WTF!?","Zomboy","The Outbreak","1","6","219374","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:7rNJpW1F5VJ79SX8vvh8fQ","Survivors","Zomboy, MUST DIE!","The Outbreak","1","7","257142","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:7p2QoTu5ygImfCcHOuNZcJ","Patient Zero","Zomboy","The Outbreak","1","8","288750","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:3zavkK1KMwpg8jjjrcBsq6","Immunity","Zomboy","The Outbreak","1","9","309267","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:0GEt5LcrBbKBvhBNrQZD8y","Delirium","Zomboy, Rykka","The Outbreak","1","10","354000","spotify:user:mmccaff","2019-05-15T21:20:23Z"
"spotify:track:6eULdK9eyByYgMpqH1lBeF","Crusher Destroyer","Mastodon","Remission (Reissue)","1","1","121506","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:5SoTqdQPiBu4XmZyXeNs4M","March of the Fire Ants","Mastodon","Remission (Reissue)","1","2","265653","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:2xFY8CQpeBeepr7GwL7ZKJ","Where Strides the Behemoth","Mastodon","Remission (Reissue)","1","3","176746","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:3gMWHPs4glcU7AvhTZTMYU","Workhorse","Mastodon","Remission (Reissue)","1","4","225466","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:2LWNOARDSeP7XA2ZNfVFeS","Ol'e Nessie","Mastodon","Remission (Reissue)","1","5","366386","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:2bXvyN0SzP5hosqyy7V3AZ","Burning Man","Mastodon","Remission (Reissue)","1","6","167240","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:0yDYDnBfuii8VodR6djZ2U","Trainwreck","Mastodon","Remission (Reissue)","1","7","425840","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:4yCWMM1yzm5HnnpIfmRiR6","Trampled Under Hoof","Mastodon","Remission (Reissue)","1","8","181306","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:5BIiQ4UarICevw7Ow5QkJI","Trilobite","Mastodon","Remission (Reissue)","1","9","390586","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:0mMi2FQIfXbHb8SilRoX8R","Mother Puncher","Mastodon","Remission (Reissue)","1","10","230613","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:7pLlJb6QDZb4Y4RXdEfM8K","Elephant Man","Mastodon","Remission (Reissue)","1","11","479000","spotify:user:mmccaff","2019-05-15T21:23:57Z"
"spotify:track:4f6dkn31zgC4gduGcHJ6ze","Spewn From The Earth","High On Fire","Electric Messiah","1","1","239236","spotify:user:mmccaff","2019-05-15T21:25:24Z"
"spotify:track:0d4c2xoSnBaKf5AW3ciRYC","Steps Of The Ziggurat/House Of Enlil","High On Fire","Electric Messiah","1","2","561740","spotify:user:mmccaff","2019-05-15T21:25:24Z"
"spotify:track:0STulCDDe14a96rnXmgtUb","Electric Messiah","High On Fire","Electric Messiah","1","3","256386","spotify:user:mmccaff","2019-05-15T21:25:24Z"
"spotify:track:0avjZ6HUZk2xbgjKycKL8Z","Sanctioned Annihilation","High On Fire","Electric Messiah","1","4","629233","spotify:user:mmccaff","2019-05-15T21:25:24Z"
